SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,64,16,1,8,5.05664,5.05664,2.0047,0,0
0,0,0.300000,512,16,1,4,4.34306,4.34306,2.02098,0,0
1,0,0.300000,128,256,1,4,2.93388,2.93388,2.07507,0,0
0,0,0.100000,256,64,0,8,4.7423,4.7423,2.03066,0,0
0,1,0.100000,512,64,0,4,4.43144,4.43144,2.02431,0,0
1,0,0.100000,512,16,1,8,2.48659,2.48659,2.06388,0,0
0,0,0.100000,128,16,1,8,4.60859,4.60859,2.10392,0,0
1,1,0.300000,64,64,0,8,3.51819,3.51819,1.97514,0,0
0,0,0.300000,128,256,0,8,4.97612,4.97612,1.97809,0,0
0,1,0.200000,128,64,1,8,4.5648,4.5648,2.1156,0,0
0,1,0.100000,512,16,1,8,4.2237,4.2237,2.01206,0,0
