lambda_value, threshold, percent_correct, ARI, duration, iterations
9.999999999999999e-06,555.555555556,0.999726,0.9996958155723371,21.554107,12.0
9.999999999999999e-06,1111.11111111,0.913853,0.9067005618989137,5.648938,0
9.999999999999999e-06,1666.66666667,0.701645,0.6289244214153896,5.594586,0
9.999999999999999e-06,123.456790123,0.1,0.0,5.635939,0
9.999999999999999e-06,246.913580247,0.4,0.354836649314981,5.608417,0
9.999999999999999e-06,370.37037037,0.8,0.8113193769910543,5.637209,0
9.999999999999999e-06,493.827160494,0.899963,0.8979175287699828,5.640003,0
9.999999999999999e-06,617.283950617,0.998874,0.9987534446430466,5.607622,0
9.999999999999999e-06,740.740740741,0.992964,0.9922844395878025,5.656771,0
9.999999999999999e-06,864.197530864,0.977582,0.9756729935498631,5.661258,0
9.999999999999999e-06,987.654320988,0.950877,0.9468748759572115,5.628266,0
1e-06,555.555555556,0.8,0.736840360097485,19.337526,30.0
1e-06,1111.11111111,1.0,1.0,5.556515,0
1e-06,1666.66666667,0.999904,0.999893419421097,5.565575,0
1e-06,2222.22222222,0.997217,0.996974689665115,5.6280790000000005,0
1e-06,2777.77777778,0.985682,0.9855396181929901,5.690082,0
1e-06,3333.33333333,0.962645,0.965514785513767,5.634587,0
1e-06,3888.88888889,0.929732,0.9388717970026156,5.621137,0
1e-06,4444.44444444,0.889426,0.9022142728781872,5.633041,0
1e-06,5000.0,0.844988,0.8516292047337072,5.580591,0
1e-06,679.012345679,0.8,0.736840360097485,5.6443840000000005,0
1e-06,802.469135802,0.9,0.8979583590095869,5.6163419999999995,0
1e-06,925.925925926,1.0,1.0,5.6358239999999995,0
1e-06,1049.38271605,1.0,1.0,5.610926,0
1e-06,1172.83950617,1.0,1.0,5.559623,0
1e-06,1296.2962963,1.0,1.0,5.663277000000001,0
1e-06,1419.75308642,0.999995,0.9999944446475347,5.657588,0
1e-06,1543.20987654,0.999979,0.999976670921319,5.677011,0
1e-07,555.555555556,0.7,0.6721291641891902,26.172832999999997,70.0
1e-07,1111.11111111,0.9,0.8979583590095869,5.598013,0
1e-07,1666.66666667,1.0,1.0,5.562367,0
1e-07,2222.22222222,1.0,1.0,5.509663000000001,0
1e-07,2777.77777778,1.0,1.0,5.602755,0
1e-07,3333.33333333,0.999984,0.9999822246539234,5.588225,0
1e-07,3888.88888889,0.999772,0.9997471833033267,5.556987,0
1e-07,4444.44444444,0.998944,0.9988378269212342,5.608968,0
1e-07,5000.0,0.997013,0.9967685440092202,5.610093,0
1e-07,1234.56790123,0.9,0.8979583590095869,6.038183999999999,0
1e-07,1358.02469136,0.9,0.8979583590095869,6.016949,0
