SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,256,256,1,4,4.46793,4.46793,2.0617,0,0
0,1,0.100000,512,256,1,4,4.23023,4.23023,2.08108,0,0
0,0,0.200000,16,16,0,4,8.54755,8.54755,2.01036,0,0
0,0,0.200000,32,16,0,4,6.74774,6.74774,2.0467,0,0
0,0,0.200000,64,16,0,4,5.33886,5.33886,2.04662,0,0
0,0,0.200000,128,16,0,4,4.85346,4.85346,2.00445,0,0
0,0,0.200000,256,16,0,4,4.55173,4.55173,2.02883,0,0
0,0,0.200000,512,16,0,4,4.40249,4.40249,1.99893,0,0
0,1,0.200000,16,16,0,4,9.08478,9.08478,1.99867,0,0
0,1,0.200000,32,16,0,4,6.99663,6.99663,2.00541,0,0
0,1,0.200000,64,16,0,4,5.93396,5.93396,2.02282,0,0
0,1,0.200000,128,16,0,4,4.96394,4.96394,1.99385,0,0
0,1,0.200000,256,16,0,4,4.67549,4.67549,1.97917,0,0
0,1,0.200000,512,16,0,4,4.49273,4.49273,1.98166,0,0
0,0,0.200000,16,16,1,4,8.02645,8.02645,2.10147,0,0
0,0,0.200000,32,16,1,4,6.37615,6.37615,2.03516,0,0
0,0,0.200000,64,16,1,4,5.12998,5.12998,2.08329,0,0
0,0,0.200000,128,16,1,4,4.67999,4.67999,2.05045,0,0
0,0,0.200000,256,16,1,4,4.46127,4.46127,2.06954,0,0
0,0,0.200000,512,16,1,4,4.25156,4.25156,2.03769,0,0
0,1,0.200000,16,16,1,4,8.39574,8.39574,2.00043,0,0
0,1,0.200000,32,16,1,4,6.03574,6.03574,2.1008,0,0
0,1,0.200000,64,16,1,4,5.36185,5.36185,1.98207,0,0
0,1,0.200000,128,16,1,4,4.89506,4.89506,2.03514,0,0
0,1,0.200000,256,16,1,4,4.34969,4.34969,2.04219,0,0
0,1,0.200000,512,16,1,4,4.21276,4.21276,2.09486,0,0
0,0,0.200000,16,64,0,4,8.22807,8.22807,2.00965,0,0
0,0,0.200000,32,64,0,4,6.77631,6.77631,2.00787,0,0
0,0,0.200000,64,64,0,4,5.40377,5.40377,1.94054,0,0
0,0,0.200000,128,64,0,4,4.74605,4.74605,1.98771,0,0
0,0,0.200000,256,64,0,4,4.49629,4.49629,2.01228,0,0
0,0,0.200000,512,64,0,4,4.50225,4.50225,2.00807,0,0
0,1,0.200000,16,64,0,4,8.45529,8.45529,2.01992,0,0
0,1,0.200000,32,64,0,4,6.65309,6.65309,2.00828,0,0
0,1,0.200000,64,64,0,4,5.3378,5.3378,2.01378,0,0
0,1,0.200000,128,64,0,4,5.23743,5.23743,1.97674,0,0
0,1,0.200000,256,64,0,4,4.62255,4.62255,2.0006,0,0
0,1,0.200000,512,64,0,4,4.60644,4.60644,2.04232,0,0
0,0,0.200000,16,64,1,4,8.00918,8.00918,2.05502,0,0
0,0,0.200000,32,64,1,4,6.37562,6.37562,2.04943,0,0
0,0,0.200000,64,64,1,4,5.12637,5.12637,2.07356,0,0
0,0,0.200000,128,64,1,4,4.60203,4.60203,2.04076,0,0
0,0,0.200000,256,64,1,4,4.3579,4.3579,2.0313,0,0
0,0,0.200000,512,64,1,4,4.24105,4.24105,2.05117,0,0
0,1,0.200000,16,64,1,4,8.46634,8.46634,2.10525,0,0
0,1,0.200000,32,64,1,4,6.28025,6.28025,2.06109,0,0
0,1,0.200000,64,64,1,4,5.62272,5.62272,2.06203,0,0
0,1,0.200000,128,64,1,4,4.70866,4.70866,2.06053,0,0
0,1,0.200000,256,64,1,4,4.33053,4.33053,2.05708,0,0
0,1,0.200000,512,64,1,4,4.27749,4.27749,2.05693,0,0
0,0,0.200000,16,256,0,4,8.68942,8.68942,2.00545,0,0
0,0,0.200000,32,256,0,4,7.18677,7.18677,2.02605,0,0
