lambda_value, threshold, percent_correct, ARI, duration, iterations
9.999999999999999e-06,166.666666667,0.6634519607843137,0.4187950330012193,136.70535800000002,14.0
9.999999999999999e-06,333.333333333,0.8096803921568627,0.4418598009399827,34.453649999999996,0
9.999999999999999e-06,500.0,0.7127803921568627,0.1606997152977533,34.428968,0
9.999999999999999e-06,203.703703704,0.7617166666666667,0.5986913332588077,34.268968,0
9.999999999999999e-06,240.740740741,0.786621568627451,0.5852917384445413,34.258914000000004,0
9.999999999999999e-06,277.777777778,0.8017735294117647,0.5448093433795664,34.302555,0
9.999999999999999e-06,314.814814815,0.8217049019607843,0.4854356366953374,34.279656,0
9.999999999999999e-06,351.851851852,0.8257862745098039,0.4051436969789684,34.496835,0
9.999999999999999e-06,388.888888889,0.804614705882353,0.32030563757114183,34.41288,0
9.999999999999999e-06,425.925925926,0.7711441176470588,0.25102441316755947,34.259867,0
9.999999999999999e-06,462.962962963,0.7465686274509804,0.1992963286987183,34.454418000000004,0
1e-06,166.666666667,0.4203176470588235,0.057800013839948386,251.42608099999998,36.0
1e-06,333.333333333,0.7519254901960785,0.6654199040265187,33.918979,0
1e-06,500.0,0.8717784313725491,0.8415034903726232,34.021373999999994,0
1e-06,666.666666667,0.9055176470588235,0.8017073592110286,34.227686,0
1e-06,833.333333333,0.8947480392156862,0.7228329363333088,34.567734,0
1e-06,1000.0,0.8981637254901961,0.6609705682723771,34.284905,0
1e-06,1166.66666667,0.892513725490196,0.594717220100152,34.296137,0
1e-06,1333.33333333,0.8842294117647059,0.5196823897464292,34.280204000000005,0
1e-06,1500.0,0.8614078431372549,0.43320595947858614,34.250465,0
1e-06,370.37037037,0.7789892156862745,0.7035496327580218,34.470766,0
1e-06,407.407407407,0.814863725490196,0.7913989950222294,34.181785,0
1e-06,444.444444444,0.8302274509803922,0.8006996640283272,34.437888,0
1e-06,481.481481481,0.8449941176470588,0.8079993984228142,34.252069,0
1e-06,518.518518519,0.869064705882353,0.8333226189549731,34.574227,0
1e-06,555.555555556,0.9025843137254902,0.8503429630183921,34.288982000000004,0
1e-06,592.592592593,0.8968480392156862,0.83000693243654,34.408449000000005,0
1e-06,629.62962963,0.9109803921568628,0.8232011055041439,34.245704,0
1e-07,166.666666667,0.39950882352941175,0.06086025304653302,603.8597149999999,99.0
1e-07,333.333333333,0.7147343137254902,0.5597178493791914,33.980807999999996,0
1e-07,500.0,0.8426,0.8284609484197722,33.879598,0
1e-07,666.666666667,0.8915617647058823,0.8859980173748503,33.871616,0
1e-07,833.333333333,0.919707843137255,0.9229108413290346,33.911448,0
1e-07,1000.0,0.9363666666666667,0.9323814530474732,33.874098999999994,0
1e-07,1166.66666667,0.9411558823529412,0.9275362404545705,34.095826,0
1e-07,1333.33333333,0.9347029411764706,0.9084035769332146,33.902265,0
1e-07,1500.0,0.9468392156862745,0.8996275734507988,33.907741,0
1e-07,870.37037037,0.9192107843137255,0.9216685885571223,34.324172,0
1e-07,907.407407407,0.9186549019607844,0.9202862561879819,34.532443,0
1e-07,944.444444444,0.9179539215686274,0.9185631819091274,34.524698,0
1e-07,981.481481481,0.9171588235294118,0.9166073219492763,34.259527999999996,0
1e-07,1018.51851852,0.9358705882352941,0.9311087647231916,34.35105,0
1e-07,1055.55555556,0.9446686274509803,0.9370979941822799,34.173616,0
1e-07,1092.59259259,0.9435294117647058,0.9340672751600635,34.483022000000005,0
1e-07,1129.62962963,0.942406862745098,0.9310104346653948,34.431222000000005,0
1e-07,166.666666667,0.39950882352941175,0.06086025304653302,602.5124530000002,99.0
1e-07,333.333333333,0.7147343137254902,0.5597178493791914,33.948443999999995,0
1e-07,500.0,0.8426,0.8284609484197722,34.060474,0
1e-07,666.666666667,0.8915617647058823,0.8859980173748503,33.859812,0
1e-07,833.333333333,0.919707843137255,0.9229108413290346,33.953747,0
1e-07,1000.0,0.9363666666666667,0.9323814530474732,34.149523,0
1e-07,1166.66666667,0.9411558823529412,0.9275362404545705,33.861236,0
1e-07,1333.33333333,0.9347029411764706,0.9084035769332146,33.903985,0
1e-07,1500.0,0.9468392156862745,0.8996275734507988,33.856607,0
1e-07,870.37037037,0.9192107843137255,0.9216685885571223,33.893966999999996,0
1e-07,907.407407407,0.9186549019607844,0.9202862561879819,33.994636,0
1e-07,944.444444444,0.9179539215686274,0.9185631819091274,34.178969,0
1e-07,981.481481481,0.9171588235294118,0.9166073219492763,34.003631,0
1e-07,1018.51851852,0.9358705882352941,0.9311087647231916,33.840995,0
1e-07,1055.55555556,0.9446686274509803,0.9370979941822799,34.205963999999994,0
1e-07,1092.59259259,0.9435294117647058,0.9340672751600635,34.205169999999995,0
1e-07,1129.62962963,0.942406862745098,0.9310104346653948,33.899199,0
