lambda_value, threshold, percent_correct, ARI, duration, iterations
0.001,166.666666667,0.02141764705882353,7.974704195294003e-07,18.848481,3.0
0.001,37.037037037,0.7812578431372549,0.7038834978556926,7.4185799999999995,0
0.001,74.0740740741,0.18461666666666668,0.05570071729724612,7.2943750000000005,0
9.999999999999999e-05,166.666666667,0.8805539215686274,0.8709119515971085,13.973360000000001,5.0
9.999999999999999e-05,333.333333333,0.6347774509803922,0.4614120598645807,7.522674,0
9.999999999999999e-05,37.037037037,0.11508529411764706,0.007232444416894575,7.449585,0
9.999999999999999e-05,74.0740740741,0.3129705882352941,0.2715429855661008,7.562198,0
9.999999999999999e-05,111.111111111,0.6073833333333334,0.5238937018027193,7.514253,0
9.999999999999999e-05,148.148148148,0.7958441176470589,0.8026877976285903,7.437933,0
9.999999999999999e-05,185.185185185,0.9567068627450981,0.9410181059532854,7.533627,0
9.999999999999999e-05,222.222222222,0.8909843137254903,0.8527611198682268,7.528709,0
9.999999999999999e-05,259.259259259,0.8087372549019608,0.7449540817716094,7.460602,0
9.999999999999999e-05,296.296296296,0.7226607843137255,0.6154544301229639,7.47542,0
9.999999999999999e-06,166.666666667,0.21464313725490197,0.05514024783459073,15.802988,12.0
9.999999999999999e-06,333.333333333,0.607571568627451,0.5241357421585608,7.4415059999999995,0
9.999999999999999e-06,500.0,0.9018225490196078,0.8985679620779828,7.580413999999999,0
9.999999999999999e-06,666.666666667,0.9974166666666666,0.996536811749805,7.447761999999999,0
9.999999999999999e-06,833.333333333,0.9827558823529412,0.9771638564725024,7.511196999999999,0
