lambda_value, threshold, percent_correct
1e-05,0.0,0.00980392156862745
1e-05,111.111111111,0.03779372549019608
1e-05,222.222222222,0.2248185294117647
1e-05,333.333333333,0.49509549019607846
1e-05,444.444444444,0.793977843137255
1e-05,555.555555556,0.8959440196078431
1e-05,666.666666667,0.9410540196078432
1e-05,777.777777778,0.9170932352941177
1e-05,888.888888889,0.9015862745098039
1e-05,1000.0,0.8560097058823529
1e-05,580.24691358,0.9133316666666667
1e-05,604.938271605,0.9106744117647059
1e-05,629.62962963,0.9369341176470588
1e-05,654.320987654,0.9430769607843137
1e-05,679.012345679,0.9389205882352941
1e-05,703.703703704,0.9343074509803921
1e-05,728.395061728,0.9291361764705882
1e-05,753.086419753,0.9234148039215686
1e-05,635.11659808,0.9459624509803921
1e-05,640.603566529,0.9451716666666666
1e-05,646.090534979,0.9443600980392157
1e-05,651.577503429,0.9435211764705882
1e-05,657.064471879,0.9426466666666666
1e-05,662.551440329,0.9417469607843137
1e-05,668.038408779,0.9408194117647058
1e-05,673.525377229,0.9398724509803922
1e-05,630.848955952,0.9367673529411765
1e-05,632.068282274,0.9365964705882353
1e-05,633.287608596,0.9462233333333333
1e-05,634.506934918,0.9460528431372549
1e-05,635.726261241,0.9458745098039215
1e-05,636.945587563,0.9457025490196078
1e-05,638.164913885,0.9455264705882352
1e-05,639.384240207,0.9453520588235295
1e-06,0.0,0.00980392156862745
1e-06,111.111111111,0.026746568627450982
1e-06,222.222222222,0.02813372549019608
1e-06,333.333333333,0.11690343137254902
1e-06,444.444444444,0.28383696078431375
1e-06,555.555555556,0.44086009803921566
1e-06,666.666666667,0.5880007843137255
1e-06,777.777777778,0.7252454901960784
1e-06,888.888888889,0.823046568627451
1e-06,1000.0,0.8616973529411764
1e-06,913.580246914,0.8327607843137255
1e-06,938.271604938,0.8424494117647059
1e-06,962.962962963,0.8521225490196078
1e-06,987.654320988,0.8617776470588235
1e-06,1012.34567901,0.8616120588235294
1e-06,1037.03703704,0.8712321568627451
1e-06,1061.72839506,0.8710353921568628
1e-06,1086.41975309,0.8708143137254902
1e-06,1017.83264746,0.8615720588235294
1e-06,1023.31961591,0.8615321568627451
1e-06,1028.80658436,0.8614906862745098
1e-06,1034.29355281,0.8712550980392156
1e-06,1039.78052126,0.8712097058823529
1e-06,1045.26748971,0.871170294117647
1e-06,1050.75445816,0.8711278431372549
1e-06,1056.24142661,0.8710840196078431
1e-06,1030.02591068,0.8614825490196079
1e-06,1031.24523701,0.8614735294117647
1e-06,1032.46456333,0.8614647058823529
1e-06,1033.68388965,0.8712594117647059
1e-06,1034.90321597,0.8712492156862746
1e-06,1036.1225423,0.8712390196078431
1e-06,1037.34186862,0.8712296078431373
1e-06,1038.56119494,0.8712201960784314
1e-07,0.0,0.00980392156862745
1e-07,111.111111111,0.025121372549019607
1e-07,222.222222222,0.05682764705882353
1e-07,333.333333333,0.17523313725490197
1e-07,444.444444444,0.2344100980392157
1e-07,555.555555556,0.32287
1e-07,666.666666667,0.46026088235294116
1e-07,777.777777778,0.5289892156862745
1e-07,888.888888889,0.607492156862745
1e-07,1000.0,0.6957835294117647
1e-07,913.580246914,0.6173082352941176
1e-07,938.271604938,0.6761454901960784
1e-07,962.962962963,0.685963137254902
1e-07,987.654320988,0.6957792156862745
1e-07,1012.34567901,0.7055945098039216
1e-07,1037.03703704,0.7056036274509804
1e-07,1061.72839506,0.7056133333333333
1e-07,1086.41975309,0.735035
1e-07,1067.21536351,0.7056154901960784
1e-07,1072.70233196,0.705616862745098
1e-07,1078.18930041,0.7154233333333333
1e-07,1083.67626886,0.7350338235294117
1e-07,1089.16323731,0.7350369607843137
1e-07,1094.65020576,0.7350389215686275
1e-07,1100.13717421,0.7448452941176471
1e-07,1105.62414266,0.7448474509803922
1e-07,1101.35650053,0.7448454901960785
1e-07,1102.57582686,0.7448462745098039
1e-07,1103.79515318,0.7448463725490196
1e-07,1105.0144795,0.7448467647058824
1e-07,1106.23380582,0.7448474509803922
1e-07,1107.45313214,0.7448480392156863
1e-07,1108.67245847,0.7546522549019608
1e-07,1109.89178479,0.7644567647058823
