dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0748467;105.048;0.268034;253.55;0.34796;27.5894;0.196513;246.548
40000;0;0.0856442;183.608;0.266487;255.022;0.353015;108.777;0.220481;439.494
60000;0;0.12509;188.564;0.251832;231.311;0.381794;226.3;0.253555;573.247
80000;0;0.140066;224.538;0.265842;255.641;0.408448;376.057;0.280729;690.346
100000;0;0.135269;290.624;0.271938;249.911;0.440899;544.343;0.305838;792.085
200000;0;0.195496;402.182;0.265959;255.529;0.820936;1169.4;0.417116;1161.55
400000;0;0.254965;616.752;0.271228;250.565;2.39366;1604.24;0.676584;1432.2
600000;0;0.451509;522.415;0.253205;230.057;4.99385;1730.13;0.90954;1598.06
800000;0;0.376149;836.104;0.270381;251.35;8.64942;1775.84;1.18193;1639.69
1000000;0;0.838687;468.738;0.269195;252.457;13.4529;1784;1.43859;1683.94
