dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0167583;5.47825;0.0100681;4.91254;0.00959144;403.693;0.204767;2.89699
40000;0;0.0153512;11.9607;0.00738263;6.28075;0.0157507;983.319;0.197624;6.0034
60000;0;0.0234947;11.7226;0.00617038;7.0137;0.0261028;1335.03;0.202296;8.79712
80000;0;0.0363907;10.0912;0.00574797;6.99133;0.0402932;1537.53;0.0230302;103.031
100000;0;0.021555;21.2957;0.0064451;6.71475;0.056595;1710.4;0.213908;13.866
200000;0;0.0287578;31.9239;0.00657489;6.5822;0.176096;2198.81;0.227417;26.0845
400000;0;0.0498112;36.8616;0.00609896;7.09584;0.620298;2496.86;0.269891;43.9591
600000;0;0.0631138;43.6383;0.00686397;6.75533;1.33571;2608.95;0.293206;60.6954
800000;0;0.0902371;40.6954;0.00680068;6.36366;2.3443;2642.66;0.293455;80.8585
1000000;0;0.10137;45.2828;0.00739977;6.2662;3.62759;2668.44;0.319531;92.8249
