dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.2615945;0.342522;0.323622;0.043243699999999996;0.303563;12.7552;0.0930541;2.56186
40000;1;0.18790089999999998;0.7792965000000001;0.26476900000000003;0.0567054;0.276007;56.1145;0.0839708;5.58994
60000;1;0.21842;1.0135049999999999;0.31840199999999996;0.04703815;0.287964;121.015;0.0938212;7.62276
80000;1;0.250613;1.1777199999999999;0.313771;0.0413677;0.312939;197.968;0.0978805;9.74217
100000;1;0.287643;1.282635;0.31664899999999996;0.04730595;0.329622;293.67;0.1;11.9196
200000;1;0.338929;2.16871;0.318425;0.04510505;0.545056;710.386;0.12287;19.2516
400000;1;0.5283979999999999;2.79296;0.308008;0.0486288;1.30864;1183.52;0.145398;32.7916
600000;1;0.721759;3.06701;0.31158600000000003;0.04807085;2.56466;1358.77;0.173002;41.3393
800000;1;0.351981;8.38546;0.308867;0.0387918;4.30853;1437.89;0.205213;46.4672
1000000;1;1.051464;3.4952050000000003;0.312419;0.04754705;6.6205;1462.13;0.228695;51.7161
