dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.445046;14.0951;1.22842;19.0118;0.452702;28.2747;1.2621;30.4303
40000;0;0.46943;26.7259;1.17323;19.9061;0.521031;98.2667;1.34065;57.2945
60000;0;0.499816;37.6517;1.21603;19.2056;0.615505;187.163;1.41124;81.6432
80000;0;0.511083;49.0956;1.24865;18.7038;0.75016;273.008;1.45026;105.929
100000;0;0.53827;58.2698;1.25507;18.6082;0.901352;355.022;1.53668;124.964
200000;0;0.602986;104.032;1.27332;18.3414;2.25766;566.959;1.9387;198.102
400000;0;0.802282;156.378;1.30716;17.8666;7.58871;674.686;2.669;287.794
600000;0;0.968319;194.347;1.26938;18.3984;16.5799;694.818;3.14381;366.492
800000;0;1.11593;224.852;1.19054;19.6167;28.6587;714.616;3.91919;391.979
1000000;0;1.30353;240.615;1.20582;19.3682;45.027;710.685;4.56199;420.934
