dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.34527;5.48886;0.872415;3.87923;0.606484;15.8289;0.848172;13.7686
40000;0;0.337009;11.2468;0.803933;4.20968;0.661858;58.0185;0.894551;26.1096
60000;0;0.361659;15.7204;0.889543;3.80454;0.76666;112.697;0.938613;37.3258
80000;0;0.368026;20.5979;0.846969;3.99578;0.887248;173.12;0.928715;50.2982
100000;0;0.386645;24.5075;0.858035;3.94424;1.05645;227.175;0.946853;61.6683
200000;0;0.446055;42.4867;0.878389;3.85285;2.28613;419.924;1.0444;111.817
400000;0;0.549509;68.9758;0.870175;3.88922;7.2421;530.233;1.30649;178.772
600000;0;0.654028;86.9293;0.829325;4.08079;15.5134;556.939;1.52654;229.502
800000;0;0.768133;98.6882;0.872487;3.87891;27.1208;566.354;1.71226;272.812
1000000;0;0.890134;106.453;0.827707;4.08877;42.045;570.817;2.24692;259.87
