dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.01827512;56.447500000000005;0.0252999;115.87899999999999;0.0111989;345.749;0.0119762;271.424
40000;1;0.02287773;93.72345;0.022802299999999998;128.5765;0.0164532;941.335;0.019261;337.534
60000;1;0.027111200000000002;115.45395;0.0226241;129.23149999999998;0.0284699;1224.03;0.0221466;439.082
80000;1;0.032391500000000004;128.071;0.023353;121.55850000000001;0.0455127;1361.2;0.027427;474.887
100000;1;0.0369226;139.791;0.0222089;131.4035;0.0755887;1280.61;0.0324103;499.2
200000;1;0.0508478;199.4525;0.0218761;131.3635;0.205853;1880.95;0.052442;607.519
400000;1;0.08479439999999999;237.03449999999998;0.0228291;125.2795;0.6604;2345.25;0.0896683;706.899
600000;1;0.1226235;249.429;0.023756600000000003;124.2065;1.40686;2477.01;0.12925;758.785
800000;1;0.159406;253.0795;0.023199400000000002;120.6815;2.47891;2499.16;0.132948;963.561
1000000;1;0.1959685;258.9365;0.025140799999999998;116.62299999999999;3.81187;2539.43;0.212744;761.807
