dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.489049;63.6135;2.51914;228.02;0.462145;27.697;1.52781;124.668
40000;0;0.570708;109.023;2.48568;231.09;0.527835;97;1.89262;201.277
60000;0;0.627219;148.8;2.44386;235.044;0.62263;185.022;2.19481;260.346
80000;0;0.691012;180.084;2.49928;229.832;0.746828;274.226;2.51711;302.681
100000;0;0.743067;209.336;2.45962;233.538;0.89212;358.696;2.84751;334.45
200000;0;1.03103;301.737;2.53833;226.297;2.27237;563.289;4.45642;427.406
400000;0;1.58834;391.732;2.42637;236.738;7.47022;685.388;7.5817;502.447
600000;0;2.19059;426.052;2.4573;233.759;16.5401;696.489;10.5104;543.661
800000;0;3.0242;411.482;2.55612;224.721;28.6151;715.706;13.6099;559.798
1000000;0;3.61482;430.313;2.51642;228.267;44.5926;717.608;16.7475;568.653
