dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.173284;545.671;9.34456;365.131;0.602486;26.5566;0.881055;654.485
40000;0;0.273751;690.818;9.19709;370.986;0.646635;98.9739;1.62868;708.103
60000;0;0.396322;715.752;9.31692;366.214;0.722704;199.252;2.37894;727.176
80000;0;0.522257;724.212;9.23015;369.657;0.890447;287.496;3.14735;732.854
100000;0;0.5915;799.291;9.32381;365.944;0.991855;403.285;3.90277;738.755
200000;0;1.1511;821.442;9.27231;367.976;2.40509;665.255;7.70565;748.331
400000;0;2.15672;876.849;9.25027;368.853;8.07101;792.961;15.3355;752.029
600000;0;3.3485;847.149;9.26467;368.28;18.0338;798.502;22.708;761.807
800000;0;4.22327;895.573;9.20666;370.6;30.8052;831.028;30.4249;758.113
1000000;0;5.54851;852.085;9.2841;367.509;49.0649;815.246;37.8937;760.861
