dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0489757;334.82;0.0824691;1244.29;0.0147372;1085.69;0.361674;276.495
40000;0;0.0574751;570.613;0.0816606;1256.6;0.0322276;1985.87;0.403738;495.376
60000;0;0.0745745;659.663;0.0805774;1273.5;0.0661891;2175.58;0.489775;612.533
80000;0;0.0845122;776.125;0.0786298;1305.04;0.108166;2366.74;0.531637;752.401
100000;0;0.0969379;845.8;0.0807346;1271.02;0.162848;2456.28;0.582989;857.658
200000;0;0.17681;927.439;0.0805773;1273.5;0.509388;3141.03;0.823555;1214.26
400000;0;0.292263;1122.14;0.074358;1380.02;1.93245;3311.86;1.38601;1443.01
600000;0;0.417504;1178.29;0.0744081;1379.09;4.23829;3397.59;1.91333;1567.96
800000;0;0.56206;1166.99;0.0752919;1362.9;7.53445;3397.73;2.4862;1608.89
1000000;0;0.623679;1314.62;0.0730696;1404.35;11.7337;3408.99;3.01201;1660.04
