dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.118398;0.31161;0.235127;0.0318485;0.395131;9.79928;0.436061;0.546694
40000;0;0.1191;0.619547;0.230846;0.0324391;0.40878;37.8884;0.438348;1.08768
60000;0;0.119924;0.922933;0.232603;0.0321942;0.443474;78.5795;0.447345;1.59871
80000;0;0.12403;1.18984;0.246192;0.0263615;0.485202;127.683;0.447221;2.13221
100000;0;0.128493;1.43564;0.240816;0.0310962;0.537066;180.238;0.458134;2.60177
200000;0;0.133263;2.76852;0.234167;0.0298472;0.966717;400.531;0.472965;5.04038
400000;0;0.148912;4.95515;0.232005;0.0301253;2.64377;585.83;0.510801;9.33405
600000;0;0.168133;6.58301;0.234886;0.0318812;5.40904;644.255;0.530091;13.4916
800000;0;0.177633;8.30792;0.223649;0.0267865;9.25276;669.552;0.545125;17.4926
1000000;0;0.187066;9.86124;0.239813;0.0291444;14.1812;682.592;0.569296;20.9374
