dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.375989;2.04633;0.35039600000000004;1.763525;0.410366;15.5958;0.198228;12.0721
40000;1;0.3808;4.041535;0.0233514;26.5034;0.418289;61.2017;0.208469;22.9582
60000;1;0.386679;5.9745550000000005;0.0212392;30.58535;0.403154;142.874;0.210486;34.1073
80000;1;0.392981;7.81948;0.02009103;30.67055;0.444514;230.364;0.209103;45.7773
100000;1;0.40130699999999997;9.570945;0.0195817;33.16865;0.497358;321.7;0.22461;53.271
200000;1;0.45907299999999995;16.77605;0.01913654;30.37225;0.660677;968.703;0.206475;115.9
400000;1;0.560702;27.41575;0.0207991;29.622549999999997;1.25706;2036.5;0.269425;177.64
600000;1;0.511378;52.7208;0.018430580000000002;34.1811;2.28565;2520.07;0.312156;230.585
800000;1;0.74448;41.33305;0.021418;30.410899999999998;3.70066;2767.07;0.353379;271.228
1000000;1;0.8413189999999999;45.6981;0.0215347;28.603650000000002;5.5951;2859.65;0.398738;300.077
