dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.1310562;5.86008;0.484908;1.7666085;0.281578;22.729;0.129688;18.4522
40000;1;0.148086;10.372499999999999;0.492472;1.94588;0.299505;85.4745;0.137354;34.845
60000;1;0.203547;11.31965;0.48757700000000004;1.8107695;0.320829;179.535;0.142948;50.2218
80000;1;0.1937439;15.85745;0.483984;1.7871839999999999;0.3458;296.125;0.148543;64.4402
100000;1;0.227044;16.913;0.485291;1.955575;0.387593;412.804;0.146493;81.6777
200000;1;0.322501;23.81445;0.486419;1.6272289999999998;0.653519;979.314;0.169732;140.989
400000;1;0.328891;46.7031;0.479735;1.8824385000000001;1.73274;1477.43;0.20479;233.706
600000;1;0.817714;28.2134;0.231492;2.6669650000000003;3.48141;1654.5;0.242679;296.599
800000;1;0.573589;53.59325;0.234065;3.0726899999999997;5.91029;1732.57;0.44912;213.41
1000000;1;1.137779;33.75005;0.467481;1.7974394999999999;9.39232;1703.52;0.296708;403.265
