dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.230871;1.9880955;0.19450244;0.46597489999999997;0.0128803;300.615;0.192461;1.23865
40000;1;0.362405;0.4072785;0.17557971;0.41673765;0.0200462;772.614;0.215196;2.18123
60000;1;0.16166570000000002;4.9161235;0.01437867;1.0051744999999999;0.0285207;1221.85;0.19324;3.70097
80000;1;0.2038401;5.19538;0.01335613;0.9945495;0.0451781;1371.28;0.199942;4.76921
100000;1;0.2018926;5.7382550000000005;0.015210360000000001;1.0203255;0.0786679;1230.49;0.215429;5.53297
200000;1;0.380463;1.938335;0.01664321;0.867192;0.202984;1907.54;0.225085;10.5091
400000;1;0.254789;10.80126;0.01502569;1.0264514999999999;0.661944;2339.78;0.248145;19.2139
600000;1;0.2956224;11.80626;0.01521849;1.017442;1.42034;2453.49;0.253699;28.19
800000;1;0.3322079;12.111519999999999;0.01419658;0.8884179999999999;2.47985;2498.22;0.322897;29.5316
1000000;1;0.547795;6.709185;0.0166812;0.8900175;3.83201;2526.09;0.347191;34.0654
