dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.18745889999999998;66.80095;0.45858699999999997;101.4725;0.585419;21.8647;0.283028;135.188
40000;1;0.24248399999999998;103.36000000000001;0.457086;101.957;0.621622;82.3651;0.348698;219.766
60000;1;0.338689;110.92;0.459271;101.32300000000001;0.68301;168.665;0.418039;274.582
80000;1;0.420527;119.144;0.46155999999999997;100.8735;0.764731;267.807;0.486402;314.802
100000;1;0.40487399999999996;154.72;0.457322;101.849;0.89296;358.359;0.552131;346.82
200000;1;0.671189;186.57049999999998;0.453069;102.70949999999999;1.94601;657.756;0.871785;438.892
400000;1;1.047325;239.1325;0.457806;101.648;6.23474;821.206;1.49471;511.965
600000;1;1.751951;214.46499999999997;0.459013;101.4105;9.88541;1165.35;2.13208;538.544
800000;1;1.7357879999999999;288.911;0.459415;101.5275;17.0053;1204.33;2.77208;553.403
1000000;1;2.8041799999999997;223.49099999999999;0.46143500000000004;101.0355;32.1277;996.024;3.44814;555.865
