dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0745114;1.23211;0.199161;0.232819;0.19015;20.3628;0.0902247;6.57478
40000;0;0.0927409;1.97984;0.194525;0.238367;0.200913;77.0882;0.0971432;12.2131
60000;0;0.106201;2.59338;0.193624;0.239477;0.213239;163.423;0.0998367;17.8253
80000;0;0.124811;2.94224;0.196202;0.204819;0.226777;273.184;0.0977448;24.2758
100000;0;0.142917;3.21187;0.193963;0.223121;0.252798;382.915;0.100326;29.5639
200000;0;0.166237;5.52259;0.191115;0.226446;0.422816;915.764;0.115205;51.4916
400000;0;0.264254;6.94831;0.19098;0.242793;1.22762;1261.62;0.143878;82.4597
600000;0;0.359459;7.66201;0.193519;0.239607;2.53142;1376.62;0.175504;101.401
800000;0;0.171412;21.4235;0.189778;0.228041;4.35751;1421.73;0.195717;121.238
1000000;0;0.51738;8.87219;0.191809;0.241743;6.69508;1445.84;0.230828;128.496
