dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0754481;1.21681;0.208391;0.207674;0.209492;18.4828;0.0907814;6.53447
40000;0;0.0945425;1.94211;0.210909;0.190537;0.225998;68.5315;0.0928292;12.7806
60000;0;0.113368;2.42942;0.209683;0.206393;0.243928;142.862;0.0949924;18.7344
80000;0;0.131245;2.79801;0.206221;0.194869;0.27905;222.011;0.108849;21.7993
100000;0;0.151074;3.03845;0.208768;0.192491;0.312898;309.366;0.110806;26.7679
200000;0;0.179726;5.1081;0.207776;0.19341;0.671666;576.477;0.127372;46.5727
400000;0;0.28971;6.33778;0.207373;0.193786;2.1597;717.138;0.159001;74.6169
600000;0;0.402512;6.84248;0.208286;0.207778;4.60167;757.291;0.182138;97.7073
800000;0;0.227315;16.1549;0.206658;0.179498;8.0486;769.724;0.209354;113.341
1000000;0;0.584228;7.85704;0.209145;0.206925;12.4262;779.002;0.249359;118.947
