dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0391852;418.475;0.0586203;1750.5;0.0146662;1090.94;0.340292;293.868
40000;0;0.036305;903.349;0.0514226;1995.53;0.0328462;1948.48;0.367659;543.988
60000;0;0.0580487;847.462;0.0500067;2052.03;0.0470181;3062.65;0.39767;754.401
80000;0;0.0507943;1291.33;0.050355;2037.83;0.0686702;3727.96;0.416546;960.289
100000;0;0.0726675;1128.29;0.050725;2022.97;0.138329;2891.65;0.438765;1139.57
200000;0;0.146614;1118.45;0.0506619;2025.49;0.374256;4275.15;0.546075;1831.27
400000;0;0.187933;1745.1;0.0479335;2140.78;1.34708;4751.03;0.75978;2632.37
600000;0;0.277064;1775.55;0.0480972;2133.49;2.91056;4947.51;0.970497;3091.23
800000;0;0.346271;1894.24;0.0487483;2105.0;5.1642;4957.21;1.20948;3307.25
1000000;0;0.441598;1856.67;0.0473189;2168.59;8.00177;4998.89;1.41972;3521.87
