dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.79151;119.463;8.80608;387.458;0.575456;27.804;2.71287;212.556
40000;0;0.94608;199.89;8.62152;395.753;0.651193;98.2811;3.74331;308.089
60000;0;1.07735;263.302;8.91349;382.79;0.761548;189.089;4.68018;369.625
80000;0;1.23833;305.431;8.91654;382.659;0.898969;284.771;5.62731;409.885
100000;0;1.39128;339.817;8.85998;385.101;1.12336;356.074;6.5802;438.161
200000;0;2.21454;426.978;8.76017;389.489;2.8459;562.212;11.266;511.839
400000;0;3.92837;481.402;9.00615;378.851;9.33098;685.887;20.5922;560.054
600000;0;5.60154;506.411;8.71165;391.658;19.985;720.542;29.7062;582.339
800000;0;6.91858;546.679;8.68991;392.638;34.7104;737.532;39.253;587.61
1000000;0;8.22732;574.647;8.85829;385.175;54.3953;735.357;48.5204;594.222
