dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0261911;1187.81;0.257985;2226.54;0.0109968;1163.98;0.341216;558.21
40000;0;0.0438728;1418.2;0.251806;2281.18;0.0199369;2568.11;0.40292;945.449
60000;0;0.0503727;1852.8;0.252431;2275.53;0.0367748;3132.58;0.423768;1348.4
80000;0;0.0635995;1956.63;0.262596;2187.44;0.0573158;3573.19;0.512656;1486.14
100000;0;0.0737324;2109.66;0.256267;2241.47;0.102313;3127.66;0.540705;1761.31
200000;0;0.139483;2230.39;0.246668;2328.7;0.297755;4298.83;0.725293;2626.11
400000;0;0.247317;2515.8;0.250649;2291.71;1.11178;4605.22;1.12471;3386.99
600000;0;0.353132;2642.93;0.244846;2346.02;2.43349;4733.95;1.51517;3771.25
800000;0;0.467144;2663.85;0.245011;2344.45;4.33067;4729.06;1.93576;3935.81
1000000;0;0.576145;2699.85;0.243446;2359.52;6.72031;4761.69;2.34903;4054.23
