dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.175641;14.8741;0.30586;0.0579824;7.0;0.04369428571428572
5;500000;0;0.202404;26.8794;0.0926819;0.574253;6.0;0.015446983333333332
6;500000;0;0.236514;42.6296;0.106616;1.19795;5.0;0.0213232
7;500000;0;0.266469;64.4671;0.119686;2.13359;4.0;0.0299215
8;500000;0;0.304328;90.2463;0.13633;4.20326;4.0;0.0340825
9;500000;0;0.333908;125.102;5.1503;0.229379;4.0;1.287575
10;500000;0;0.368211;165.749;0.165304;10.3186;3.0;0.055101333333333335
11;500000;0;0.399044;216.173;0.189827;16.3472;3.0;0.06327566666666666
12;500000;0;0.452088;262.313;0.202655;26.5652;3.0;0.06755166666666666
13;500000;0;0.481847;330.446;9.81258;0.914074;3.0;3.2708600000000003
14;500000;0;0.510961;409.977;0.184446;78.2411;3.0;0.061482
15;500000;0;0.581509;465.634;0.232191;64.6695;2.0;0.1160955
16;500000;0;0.630132;546.857;0.219435;103.982;2.0;0.1097175
17;500000;0;5.59698;77.2824;5.52744;6.12593;2.0;2.76372
18;500000;0;0.692897;774.046;0.270469;181.897;2.0;0.1352345
19;500000;0;0.727569;904.028;0.408223;171.808;2.0;0.2041115
20;500000;0;5.63149;141.82;5.62591;17.4703;2.0;2.812955
21;500000;0;0.79359;1211.04;0.415879;326.077;2.0;0.2079395
22;500000;0;0.889595;1289.42;11.1419;16.5562;2.0;5.57095
23;500000;0;0.91442;1485.96;0.745847;332.096;2.0;0.3729235
24;500000;0;1.2832;1245.76;0.865606;379.668;2.0;0.432803
25;500000;0;6.52646;286.327;6.2404;69.1108;2.0;3.1202
26;500000;0;1.63694;1326.69;1.48302;377.769;2.0;0.74151
27;500000;0;6.46817;388.072;7.15783;100.718;2.0;3.578915
28;500000;0;1.83614;1572.1;1.94224;473.462;2.0;0.97112
29;500000;0;6.79658;486.114;2.829;411.243;2.0;1.4145
30;500000;0;2.35722;1597.17;3.0129;484.802;2.0;1.50645
31;500000;0;2.38267;1793.15;4.41525;412.381;2.0;2.207625
32;500000;0;3.34029;1445.9;23.4532;144.186;3.0;7.817733333333333
33;500000;0;2.97455;1828.77;9.12364;456.021;3.0;3.0412133333333333
34;500000;0;3.25454;1876.09;11.2909;450.672;3.0;3.7636333333333334
35;500000;0;8.84106;772.671;14.0006;442.011;3.0;4.6668666666666665
36;500000;0;4.3115;1767.23;10.0893;494.655;2.0;5.04465
37;500000;0;4.27259;1983.31;12.209;492.006;2.0;6.1045
38;500000;0;4.70005;1999.61;17.819;403.806;2.0;8.9095
39;500000;0;5.2441;1982.47;18.1311;473.224;2.0;9.06555
40;500000;0;8.13352;1410.42;21.5854;471.942;2.0;10.7927
41;500000;0;8.04072;1570.57;23.2957;517.065;2.0;11.64785
42;500000;0;9.20962;1506.1;28.7869;492.829;2.0;14.39345
43;500000;0;15.2124;999.322;32.8712;506.432;2.0;16.4356
44;500000;0;12.8291;1296.06;39.6964;490.319;2.0;19.8482
45;500000;0;11.0886;1636.85;47.5912;476.555;2.0;23.7956
46;500000;0;10.7512;1839.39;56.7705;463.986;2.0;28.38525
47;500000;0;12.5151;1718.55;60.2627;506.065;2.0;30.13135
48;500000;0;12.4819;1870.82;71.1148;495.015;2.0;35.5574
49;500000;0;16.7105;1514.66;87.0533;465.439;2.0;43.52665
50;500000;0;16.5872;1651.34;90.4473;514.185;2.0;45.22365
51;500000;0;28.026;1056.06;103.441;514.676;2.0;51.7205
52;500000;0;28.2328;1131.08;117.51;517.307;2.0;58.755
53;500000;0;26.9568;1276.33;195.873;353.486;2.0;97.9365
54;500000;0;32.7042;1131.93;160.904;488.962;2.0;80.452
55;500000;0;39.6471;1003.3;177.968;501.183;2.0;88.984
56;500000;0;43.5496;980.231;203.095;496.795;2.0;101.5475
57;500000;0;46.5847;982.212;293.928;387.479;2.0;146.964
58;500000;0;66.9748;731.406;290.015;442.369;2.0;145.0075
59;500000;0;56.6088;925.361;615.977;234.148;2.0;307.9885
60;500000;0;41.934;1334.36;327.503;494.143;2.0;163.7515
61;500000;0;63.9;934.371;954.777;189.832;2.0;477.3885
62;500000;0;83.3248;763.793;490.367;413.21;2.0;245.1835
63;500000;0;81.5611;830.924;455.869;496.036;2.0;227.9345
