dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.440295;14.2472;1.2336;18.932;0.435002;29.4252;1.33142;28.8458
40000;0;0.455526;27.5417;1.21938;19.1527;0.465403;110.012;1.42959;53.7302
60000;0;0.477486;39.4125;1.25183;18.6563;0.529738;217.466;1.42327;80.9533
80000;0;0.492319;50.9668;1.25107;18.6677;0.632008;324.046;1.4426;106.491
100000;0;0.486866;64.4221;1.17816;19.8228;0.7304;438.116;1.51973;126.358
200000;0;0.555463;112.933;1.29175;18.0797;1.60055;799.727;1.70657;225.048
400000;0;0.632769;198.271;1.25732;18.5748;5.06687;1010.49;2.1551;356.419
600000;0;0.743364;253.159;1.2632;18.4883;10.8263;1064.08;2.67752;430.316
800000;0;0.820088;305.966;1.26033;18.5305;18.7609;1091.63;2.9627;518.528
1000000;0;0.95052;329.976;1.23169;18.9613;29.0115;1103.01;3.48932;550.337
