dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0403063;771.843;0.461622;1244.34;0.0113691;1125.86;0.40567;469.52
40000;0;0.0537263;1158.1;0.471575;1218.08;0.0246896;2073.74;0.497039;766.419
60000;0;0.0755909;1234.68;0.481265;1193.55;0.0556681;2069.41;0.613491;931.407
80000;0;0.0975315;1275.9;0.497342;1154.97;0.0787226;2601.54;0.737354;1033.26
100000;0;0.119173;1305.25;0.444406;1292.54;0.128006;2499.88;0.826843;1151.79
200000;0;0.218155;1426.05;0.43481;1321.07;0.40607;3152.17;1.34642;1414.64
400000;0;0.405579;1534.11;0.418292;1373.24;1.5875;3225.2;2.33078;1634.39
600000;0;0.597333;1562.45;0.402569;1426.87;3.46567;3324.03;3.25958;1753.02
800000;0;0.782231;1590.84;0.403049;1425.17;6.17237;3318.01;4.35733;1748.5
1000000;0;0.968697;1605.77;0.402586;1426.81;9.58136;3339.82;5.34489;1781.8
