dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0157274;5.83731;0.00837762;5.16581;0.0107551;360.016;0.194938;3.04306
40000;0;0.0319518;5.74653;0.00648652;6.19531;0.0183985;841.807;0.195184;6.07844
60000;0;0.0192741;14.2895;0.00673446;6.42624;0.0290075;1201.35;0.201791;8.81915
80000;0;0.0218443;16.8109;0.00596069;6.74184;0.0463025;1337.98;0.0237476;99.9187
100000;0;0.0360069;12.7484;0.00584021;6.88092;0.0779031;1242.57;0.216301;13.7126
200000;0;0.0492334;18.6471;0.00581601;6.90955;0.21285;1819.12;0.218717;27.1222
400000;0;0.0622743;29.4844;0.00577556;6.95793;0.673893;2298.29;0.262032;45.2775
600000;0;0.0901495;30.5513;0.00746205;5.79964;1.51515;2299.97;0.297552;59.8089
800000;0;0.130274;28.1886;0.00583314;6.35932;2.59427;2388.03;0.319431;74.2831
1000000;0;0.147363;31.1495;0.00668715;6.4717;4.03376;2399.75;0.319128;92.9421
