dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.192386;1.99858;0.390288;0.79093;0.447357;14.3063;0.614316;3.90561
40000;0;0.203918;3.77112;0.407751;0.841174;0.485521;52.7269;0.597172;8.03548
60000;0;0.200989;5.73912;0.386188;0.799327;0.51664;111.49;0.602275;11.9511
80000;0;0.205641;7.47907;0.399773;0.772165;0.562043;182.193;0.605382;15.853
100000;0;0.21656;8.87746;0.399041;0.859534;0.611998;261.439;0.617832;19.4169
200000;0;0.23012;16.7087;0.375851;0.730054;1.11217;575.452;0.647861;37.0339
400000;0;0.26093;29.4715;0.388872;0.882012;3.04281;841.329;0.714406;67.1685
600000;0;0.307471;37.5157;0.403807;0.764451;6.21899;926.196;0.805388;89.3711
800000;0;0.347717;44.2313;0.397251;0.863406;10.7499;952.565;0.799426;120.05
1000000;0;0.317527;60.5461;0.399126;0.773416;16.4559;972.297;0.857398;139.916
