dataset_size,duration,gflops,final_residuum
10000,2.42843699455,179.379,1.48861e-11
20000,2.8620531559,304.176,3.70963e-11
40000,3.67448401451,463.151,3.82116e-10
60000,4.61022496223,535.195,6.33866e-10
80000,5.73299193382,569.99,5.07391e-10
100000,6.59869408607,602.65,1.795e-09
