dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0210682;373.193;0.0727683;933.926;0.0114222;840.468;0.269803;179.575
40000;0;0.029789;527.88;0.0688804;986.64;0.0239067;1606.25;0.32776;295.643
60000;0;0.049327;478.186;0.0600505;970.044;0.0408814;2113.43;0.346683;419.259
80000;0;0.0587555;535.269;0.0687708;988.213;0.0850409;1806.19;0.361198;536.547
100000;0;0.0603928;650.947;0.0682155;996.258;0.116367;2062.43;0.394678;613.791
200000;0;0.101748;772.74;0.0703481;966.055;0.342962;2799.14;0.510046;949.915
400000;0;0.189314;830.63;0.0648357;1048.19;1.25917;3049.63;0.784154;1235.73
600000;0;0.279557;843.746;0.0554541;1050.45;2.77173;3117.19;1.06095;1370
800000;0;0.372048;845.322;0.0632953;1073.7;4.87391;3151.47;1.32966;1457.52
1000000;0;0.438484;896.554;0.0645092;1053.5;7.60425;3156.13;1.5948;1519
