dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.266144;3078.08;2.01616;1235.6;10.0;0.20161600000000002
5;500000;0;0.306457;3314.74;1.74813;1238.31;7.0;0.24973285714285715
6;500000;0;0.341269;3552.72;1.55428;1188.26;5.0;0.310856
7;500000;0;0.397716;3542.85;1.46912;1169.43;4.0;0.36728
8;500000;0;0.460642;3485.69;1.73419;1129.38;4.0;0.4335475
9;500000;0;0.503142;3582.02;1.50798;1093.73;3.0;0.50266
10;500000;0;0.569086;3512.44;1.54994;1180.51;3.0;0.5166466666666667
11;500000;0;0.592358;3706.36;1.6319;1231.75;3.0;0.5439666666666666
12;500000;0;0.709194;3372.99;1.74849;1252.79;3.0;0.5828300000000001
13;500000;0;0.725469;3568.33;1.90738;1243.01;3.0;0.6357933333333333
14;500000;0;0.763637;3647.44;1.36772;1243.58;2.0;0.68386
15;500000;0;0.791136;3769.18;1.48492;1226.41;2.0;0.74246
16;500000;0;0.842451;3772.97;1.76688;1098.76;2.0;0.88344
17;500000;0;0.932643;3618.91;1.95198;1056.18;2.0;0.97599
18;500000;0;0.982733;3634.52;2.09072;1043.62;2.0;1.04536
19;500000;0;1.03379;3645.22;2.24443;1025.72;2.0;1.122215
20;500000;0;1.10281;3595.35;2.34807;1031.67;2.0;1.174035
21;500000;0;1.19622;3478.95;2.48186;1024.51;2.0;1.24093
22;500000;0;1.30537;3338.67;2.64489;1006.83;2.0;1.322445
23;500000;0;1.46822;3102.28;2.74872;1012.55;2.0;1.37436
24;500000;0;1.42744;3328.64;2.7566;1053.29;2.0;1.3783
25;500000;0;1.61513;3063.56;2.90659;1040.31;2.0;1.453295
26;500000;0;1.50316;3422.57;3.14416;999.951;2.0;1.57208
27;500000;0;1.68683;3166.45;3.2018;1019.51;2.0;1.6009
28;500000;0;1.64128;3374.13;3.17304;1066.65;2.0;1.58652
29;500000;0;1.70646;3360.46;3.46158;1012.49;2.0;1.73079
30;500000;0;1.62152;3657.75;3.59279;1008.98;2.0;1.796395
31;500000;0;1.66652;3676.95;3.71735;1007.53;2.0;1.858675
32;500000;0;1.66456;3799.4;5.68473;1019.99;3.0;1.89491
33;500000;0;1.76717;3690.03;5.8202;1027.25;3.0;1.9400666666666666
34;500000;0;1.66763;4028.2;3.98611;1030.1;2.0;1.993055
35;500000;0;1.69362;4082.48;4.21821;1001.94;2.0;2.109105
36;500000;0;1.76064;4038.75;4.37527;993.456;2.0;2.187635
37;500000;0;1.88851;3869.39;4.49142;994.542;2.0;2.24571
38;500000;0;1.83379;4092.07;4.12322;1112.52;2.0;2.06161
39;500000;0;1.87038;4117.13;8.78322;535.957;2.0;4.39161
40;500000;0;2.22233;3553.58;7.64971;631.094;2.0;3.824855
41;500000;0;2.2818;3547.12;12.035;411.13;2.0;6.0175
42;500000;0;2.48674;3333.86;9.24484;548.221;2.0;4.62242
43;500000;0;2.65966;3191.02;12.6769;409.286;2.0;6.33845
44;500000;0;2.58461;3359.76;8.68515;611.244;2.0;4.342575
45;500000;0;2.88927;3073.53;12.3118;440.96;2.0;6.1559
46;500000;0;2.84996;3184.92;10.8303;512.384;2.0;5.41515
47;500000;0;2.89714;3200.91;15.6778;361.627;2.0;7.8389
48;500000;0;3.05702;3097.82;10.5517;548.705;2.0;5.27585
49;500000;0;2.91344;3317.96;16.6448;355.07;2.0;8.3224
50;500000;0;2.89139;3411.28;11.7824;511.808;2.0;5.8912
51;500000;0;2.90214;3466.38;13.8678;443.516;2.0;6.9339
52;500000;0;2.96132;3463.5;12.2618;511.413;2.0;6.1309
53;500000;0;3.19218;3274.62;18.297;349.298;2.0;9.1485
54;500000;0;3.29152;3235.52;15.1443;429.956;2.0;7.57215
55;500000;0;3.32953;3257.63;18.8885;351.094;2.0;9.44425
56;500000;0;3.38534;3262.0;13.3134;507.149;2.0;6.6567
57;500000;0;3.44993;3257.92;16.1602;425.253;2.0;8.0801
58;500000;0;3.22358;3547.67;13.9451;501.426;2.0;6.97255
59;500000;0;3.54532;3281.18;20.3438;349.624;2.0;10.1719
60;500000;0;3.28087;3605.58;17.139;422.016;2.0;8.5695
61;500000;0;3.48459;3451.21;21.1213;348.142;2.0;10.56065
62;500000;0;3.4462;3546.71;15.7987;473.043;2.0;7.89935
63;500000;0;3.70461;3352.38;20.8062;364.974;2.0;10.4031
