dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.401423;11.9678;0.2171943;71.96048499999999;0.293484;54.5174;0.302083;47.657
40000;1;0.333962;28.796950000000002;0.0197752;166.9295;0.316873;201.973;0.323635;88.9668
60000;1;0.411571;34.86175;0.2284719;89.372865;0.324619;443.597;0.304541;140.645
80000;1;0.419441;45.82575;0.019694549999999998;167.848;0.346577;738.652;0.317676;181.553
100000;1;0.417532;57.47045;0.0205907;160.178;0.447425;894.004;0.317343;226.593
200000;1;0.448623;108.3605;0.02100394;159.2695;0.786191;2035.13;0.339273;429.375
400000;1;0.6444799999999999;148.9635;0.01928251;171.0195;1.91241;3346.57;0.413472;694.926
600000;1;0.771228;187.55450000000002;0.020294;163.9255;3.75843;3831.39;0.457572;951.683
800000;1;0.9325300000000001;208.08749999999998;0.01992299;167.8865;6.68407;3830;0.487753;1196.49
1000000;1;1.0102410000000002;237.656;0.0191221;172.411;9.98835;4004.66;0.56007;1283.9
