dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.39535;9.588535;0.37792499999999996;17.8921;0.488597;19.6481;0.221946;52.5555
40000;1;0.420634;18.03555;0.034851400000000005;193.973;0.495932;77.43;0.241827;96.3566
60000;1;0.43415400000000004;26.20365;0.0313876;215.5;0.570763;151.376;0.252145;138.837
80000;1;0.44482900000000003;34.113;0.030267000000000002;223.4925;0.568857;270.015;0.276563;168.772
100000;1;0.462913;40.95365;0.030667399999999997;220.6775;0.589561;407.083;0.293951;198.564
200000;1;0.547102;69.293;0.030803499999999998;219.41;0.789287;1216.29;0.307072;379.712
400000;1;0.6907570000000001;110.219;0.029525299999999997;229.167;1.76755;2172.5;0.388139;601.516
600000;1;0.8322799999999999;136.6375;0.0290355;232.8515;3.40833;2534.96;0.484287;722.576
800000;1;0.9796819999999999;155.21249999999998;0.030464599999999998;222.042;5.66178;2712.93;0.557772;836.178
1000000;1;0.917668;223.09799999999998;0.027212399999999998;252.14749999999998;8.56497;2802.11;0.633495;921.725
