dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.331853;5.71077;0.849024;3.98611;0.603204;15.915;0.955444;12.2228
40000;0;0.344195;11.012;0.858545;3.9419;0.629552;60.9957;0.92521;25.2443
60000;0;0.336295;16.906;0.872678;3.87806;0.668024;129.337;0.944161;37.1065
80000;0;0.34332;22.0801;0.856694;3.95042;0.725358;211.758;0.936827;49.8626
100000;0;0.370227;25.5943;0.901906;3.75239;0.820446;292.524;0.988229;59.0863
200000;0;0.38313;49.4646;0.872691;3.87801;1.47281;651.816;1.03648;112.671
400000;0;0.460595;82.291;0.872285;3.87981;4.06253;945.224;1.24453;187.671
600000;0;0.535105;106.249;0.854381;3.96111;8.26368;1045.54;1.36103;257.412
800000;0;0.578592;131.017;0.897248;3.77187;14.312;1073.22;1.49052;313.398
1000000;0;0.642262;147.536;0.87396;3.87238;21.9169;1095.05;1.69141;345.219
