dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0658765;5.83668;0.108983;2.83247;0.248057;25.8006;0.135651;17.6871
40000;0;0.073278;10.4943;0.116191;2.95194;0.258706;98.9541;0.141848;33.8289
60000;0;0.097343;11.8499;0.11295;2.73298;0.275862;208.8;0.139399;51.6348
80000;0;0.0957771;16.0581;0.112123;2.75314;0.297461;344.247;0.150529;63.7559
100000;0;0.113508;16.9372;0.113046;3.03408;0.328056;487.721;0.15904;75.4302
200000;0;0.165547;23.2261;0.110518;2.48278;0.569548;1123.7;0.172402;139.168
400000;0;0.160722;47.8467;0.113407;3.02442;1.67089;1532.12;0.198961;241.181
600000;0;0.40544;28.4506;0.112105;2.7536;3.50201;1644.77;0.235071;306.199
800000;0;0.317872;48.3843;0.115228;2.97662;6.03371;1697.13;0.271794;353.103
1000000;0;0.562243;34.1934;0.112914;2.73385;9.34776;1711.64;0.290869;412.433
