dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0925025;67.8141;0.22775;102.544;0.47353;27.031;0.255419;150.365
40000;0;0.119498;104.989;0.228994;101.987;0.5103;100.333;0.340544;225.557
60000;0;0.169552;110.992;0.228828;102.061;0.547513;210.406;0.422748;272.546
80000;0;0.207968;120.653;0.226295;103.204;0.632487;323.801;0.496907;309.16
100000;0;0.201586;155.591;0.227075;102.849;0.749964;426.687;0.57987;331.16
200000;0;0.332923;188.421;0.228851;102.051;1.76254;726.223;0.977302;392.98
400000;0;0.52176;240.455;0.225143;103.732;5.75845;889.128;1.74391;440.46
600000;0;0.870105;216.284;0.229253;101.872;12.373;931.062;2.53044;455.327
800000;0;0.860283;291.671;0.229487;101.768;21.7731;940.612;3.31646;463.216
1000000;0;1.39126;225.442;0.230216;101.446;33.79;947.027;4.10655;467.619
