dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.430393;1903.4;3.41589;729.284;10.0;0.34158900000000003
5;500000;0;0.527599;1925.37;2.98648;724.843;7.0;0.42663999999999996
6;500000;0;0.622424;1947.92;2.48715;742.575;5.0;0.49743000000000004
7;500000;0;0.719369;1958.72;2.41671;710.899;4.0;0.6041775
8;500000;0;0.833285;1926.9;2.64465;740.575;4.0;0.6611625
9;500000;0;0.911071;1978.19;2.25515;731.356;3.0;0.7517166666666667
10;500000;0;1.02764;1945.11;2.48155;737.327;3.0;0.8271833333333333
11;500000;0;1.12283;1955.31;2.9885;672.613;3.0;0.9961666666666668
12;500000;0;1.21285;1972.3;2.946;743.552;3.0;0.9820000000000001
13;500000;0;1.32136;1959.13;3.36723;704.107;3.0;1.1224100000000001
14;500000;0;1.41288;1971.38;2.42861;700.342;2.0;1.214305
15;500000;0;1.44293;2066.58;3.36119;541.809;2.0;1.680595
16;500000;0;1.56474;2031.35;3.39283;572.202;2.0;1.696415
17;500000;0;1.63066;2069.81;4.12866;499.351;2.0;2.06433
18;500000;0;1.83758;1943.73;3.76377;579.714;2.0;1.881885
19;500000;0;1.90637;1976.73;4.57639;503.054;2.0;2.288195
20;500000;0;2.01364;1969.06;4.32653;559.903;2.0;2.163265
21;500000;0;2.09574;1985.75;4.50815;564.023;2.0;2.254075
22;500000;0;2.21955;1963.55;6.33513;420.348;2.0;3.167565
23;500000;0;2.3006;1979.84;6.37872;436.329;2.0;3.18936
24;500000;0;2.45592;1934.68;4.98397;582.566;2.0;2.491985
25;500000;0;2.56814;1926.7;5.23574;577.521;2.0;2.61787
26;500000;0;2.68629;1915.15;7.42732;423.303;2.0;3.71366
27;500000;0;2.80174;1906.41;6.99004;466.99;2.0;3.49502
28;500000;0;2.90873;1903.88;6.09436;555.355;2.0;3.04718
29;500000;0;3.00483;1908.42;8.03151;436.381;2.0;4.015755
30;500000;0;3.11095;1906.52;6.50356;557.397;2.0;3.25178
31;500000;0;3.12471;1961.05;8.57072;436.991;2.0;4.28536
32;500000;0;4.39673;1438.42;10.3809;558.565;3.0;3.4603
33;500000;0;3.31664;1966.13;12.672;471.808;3.0;4.224
34;500000;0;3.52481;1905.79;9.65848;425.131;2.0;4.82924
35;500000;0;3.5567;1943.98;9.4788;445.877;2.0;4.7394
36;500000;0;3.70416;1919.67;7.90544;549.829;2.0;3.95272
37;500000;0;3.65534;1999.09;8.84856;504.817;2.0;4.42428
38;500000;0;3.75595;1997.89;10.8137;424.198;2.0;5.40685
39;500000;0;3.85359;1998.29;10.0441;468.676;2.0;5.02205
40;500000;0;5.84257;1351.67;10.1656;474.903;2.0;5.0828
41;500000;0;5.49941;1471.76;9.94975;497.294;2.0;4.974875
42;500000;0;5.78175;1433.9;11.1135;456.041;2.0;5.55675
43;500000;0;9.047;938.105;10.4146;498.194;2.0;5.2073
44;500000;0;7.16681;1211.65;11.3191;469.006;2.0;5.65955
45;500000;0;5.84265;1519.9;11.7697;461.271;2.0;5.88485
46;500000;0;5.42655;1672.68;13.1623;421.603;2.0;6.58115
47;500000;0;5.96722;1554.07;11.5994;488.779;2.0;5.7997
48;500000;0;5.69046;1664.21;12.7431;454.348;2.0;6.37155
49;500000;0;6.55036;1475.75;13.3234;443.585;2.0;6.6617
50;500000;0;5.96587;1653.29;12.8301;470.015;2.0;6.41505
51;500000;0;10.751;935.721;13.2971;462.551;2.0;6.64855
52;500000;0;10.3025;995.537;13.6149;460.586;2.0;6.80745
53;500000;0;9.11095;1147.32;19.8144;322.548;2.0;9.9072
54;500000;0;10.4307;1021.0;14.347;453.848;2.0;7.1735
55;500000;0;11.2317;965.693;14.3544;461.993;2.0;7.1772
56;500000;0;11.4869;961.353;14.9161;452.657;2.0;7.45805
57;500000;0;12.0581;932.121;20.1504;341.044;2.0;10.0752
58;500000;0;16.3725;698.503;17.5627;398.14;2.0;8.78135
59;500000;0;12.4192;936.682;40.4849;175.687;2.0;20.24245
60;500000;0;10.0555;1176.41;15.9162;454.44;2.0;7.9581
61;500000;0;12.778;941.152;56.6169;129.877;2.0;28.30845
62;500000;0;17.5955;694.647;20.2515;369.033;2.0;10.12575
63;500000;0;11.8608;1047.08;16.9845;447.098;2.0;8.49225
