dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.464593;66.962;2.57252;223.288;0.439101;29.1504;1.52601;124.816
40000;0;0.505702;123.037;2.53086;226.965;0.479948;106.678;1.69283;225.032
60000;0;0.531255;175.679;2.61136;219.968;0.535585;215.092;1.99099;286.998
80000;0;0.579436;214.761;2.53372;226.708;0.630796;324.669;2.17181;350.805
100000;0;0.599507;259.464;2.63683;217.843;0.725677;440.968;2.33525;407.815
200000;0;0.779387;399.161;2.5705;223.465;1.61119;794.446;3.25875;584.488
400000;0;1.10574;562.7;2.61907;219.32;5.05379;1013.1;5.35388;711.522
600000;0;1.37387;679.323;2.57545;223.035;10.7515;1071.48;7.00613;815.586
800000;0;1.78977;695.286;2.61123;219.978;18.7075;1094.75;8.92601;853.55
1000000;0;2.08934;744.497;2.57499;223.074;29.1026;1099.56;10.9276;871.513
