dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.339057;23.1893;1.03802;65.471;0.61784;15.538;0.955198;50.7225
40000;0;0.350762;44.831;1.05978;64.1269;0.630422;60.9116;1.01293;95.6631
60000;0;0.342877;68.7929;1.04817;55.5743;0.646653;133.611;1.05347;137.973
80000;0;0.360163;87.3217;1.01897;66.6949;0.705237;217.799;1.09699;176.666
100000;0;0.38445;102.257;1.04692;64.9144;0.813876;294.885;1.15949;208.927
200000;0;0.419081;187.613;0.996076;68.2279;1.46636;654.682;1.41648;342.045
400000;0;0.542384;289.924;1.05464;64.4389;4.06083;945.619;1.927;502.854
600000;0;0.635831;370.971;1.03062;56.521;8.26182;1045.77;2.38606;609.163
800000;0;0.741049;424.399;1.05908;64.1692;14.3078;1073.54;2.89966;668.355
1000000;0;0.840227;467.88;1.0694;63.55;21.9981;1091;3.46575;698.984
