dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0355422;10.8181;0.0181702;16.9888;0.011762;544.126;0.216458;11.0843
40000;0;0.0385195;19.9639;0.0085317;36.1816;0.0218903;1169.47;0.220182;21.7936
60000;0;0.0445408;25.8976;0.00772168;39.9771;0.0551712;1044.02;0.218619;32.9241
80000;0;0.0376325;40.8689;0.00725659;42.5393;0.0598593;1710.68;0.232071;41.3542
100000;0;0.0424778;45.2589;0.00798619;38.653;0.0974664;1641.59;0.231773;51.7594
200000;0;0.0806605;47.669;0.007286;37.6601;0.278704;2296.34;0.249327;96.2302
400000;0;0.135795;56.6294;0.00786145;39.2663;0.926779;2762.26;0.289994;165.471
600000;0;0.175739;65.6371;0.00781851;39.482;1.94404;2962.9;0.148587;484.42
800000;0;0.221472;69.4444;0.00802366;38.4725;3.4121;3001.09;0.355609;269.878
1000000;0;0.255896;75.1282;0.00840903;36.7094;5.31472;3010.51;0.403943;296.983
