dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0885881;88.7534;0.346395;196.193;0.368925;26.0215;0.249991;193.807
40000;0;0.103341;152.166;0.344002;197.557;0.385006;99.7386;0.298322;324.817
60000;0;0.137837;171.127;0.314739;185.079;0.428487;201.64;0.361581;401.985
80000;0;0.160379;196.098;0.343161;198.042;0.473673;324.274;0.410648;471.937
100000;0;0.17116;229.683;0.34693;195.89;0.561839;427.169;0.470658;514.705
200000;0;0.2682;293.159;0.344744;197.132;1.33823;717.368;0.751637;644.593
400000;0;0.393686;399.43;0.347176;195.751;4.40456;871.824;1.32296;732.446
600000;0;0.684347;344.672;0.313214;185.98;9.51176;908.349;1.85592;783.168
800000;0;0.648646;484.856;0.34846;195.03;16.774;915.704;2.43302;796.542
1000000;0;1.09315;359.626;0.347279;195.693;26.2056;915.834;2.99345;809.267
