dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.119153;0.309634;0.223786;0.0290008;0.394559;9.81348;0.405977;0.587206
40000;0;0.119427;0.617848;0.224811;0.0288687;0.441368;35.0909;0.419275;1.13716
60000;0;0.124778;0.887031;0.237334;0.0273454;0.504778;69.0363;0.424101;1.68633
80000;0;0.126151;1.16984;0.226898;0.0264029;0.588134;105.337;0.430354;2.21577
100000;0;0.135124;1.36519;0.225506;0.0287797;0.700554;138.176;0.431695;2.76111
200000;0;0.144488;2.55343;0.227175;0.0285682;1.57391;246.012;0.448799;5.31178
400000;0;0.180935;4.07815;0.241532;0.0268701;5.04245;307.152;0.486354;9.80323
600000;0;0.183614;6.02796;0.234122;0.0277206;10.6526;327.131;0.519387;13.7696
800000;0;0.208657;7.07267;0.231793;0.0236915;18.5943;333.177;0.53448;17.841
1000000;0;0.233447;7.90202;0.231617;0.0280204;28.8059;336.042;0.556331;21.4254
