dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.241235;3395.9;1.99626;1247.91;10.0;0.199626
5;500000;0;0.29228;3475.52;1.74771;1238.61;7.0;0.24967285714285717
6;500000;0;0.347867;3485.34;1.72727;1069.25;5.0;0.34545400000000004
7;500000;0;0.396619;3552.64;1.66005;1034.93;4.0;0.4150125
8;500000;0;0.458717;3500.32;1.91626;1022.08;4.0;0.479065
9;500000;0;0.510046;3533.54;1.63106;1011.19;3.0;0.5436866666666667
10;500000;0;0.57336;3486.25;1.79532;1019.16;3.0;0.59844
11;500000;0;0.611269;3591.69;1.80273;1115.04;3.0;0.6009099999999999
12;500000;0;0.699716;3418.68;1.90212;1151.61;3.0;0.63404
13;500000;0;0.751901;3442.89;2.08109;1139.25;3.0;0.6936966666666667
14;500000;0;0.754789;3690.2;1.5359;1107.4;2.0;0.76795
15;500000;0;0.790692;3771.3;1.67026;1090.32;2.0;0.83513
16;500000;0;0.845629;3758.79;2.02068;960.756;2.0;1.01034
17;500000;0;0.925967;3645.01;2.13987;963.443;2.0;1.069935
18;500000;0;0.978539;3650.1;2.27388;959.553;2.0;1.13694
19;500000;0;1.02451;3678.22;2.41656;952.666;2.0;1.20828
20;500000;0;1.09177;3631.7;2.50782;965.952;2.0;1.25391
21;500000;0;1.19865;3471.91;2.65903;956.251;2.0;1.329515
22;500000;0;1.11868;3895.86;2.83817;938.268;2.0;1.419085
23;500000;0;1.45077;3139.59;2.97905;934.264;2.0;1.489525
24;500000;0;1.33603;3556.37;2.94105;987.229;2.0;1.470525
25;500000;0;1.65456;2990.54;3.10125;975.009;2.0;1.550625
26;500000;0;1.631;3154.29;3.32373;945.929;2.0;1.661865
27;500000;0;1.57673;3387.56;3.394;961.778;2.0;1.697
28;500000;0;1.62864;3400.32;3.39063;998.203;2.0;1.695315
29;500000;0;1.82918;3135.01;3.66646;955.908;2.0;1.83323
30;500000;0;1.58991;3730.47;3.8143;950.386;2.0;1.90715
31;500000;0;1.64661;3721.41;3.89753;960.949;2.0;1.948765
32;500000;0;1.79823;3516.97;5.91467;980.34;3.0;1.9715566666666666
33;500000;0;1.75384;3718.08;6.06567;985.675;3.0;2.02189
34;500000;0;1.65933;4048.35;4.08261;1005.76;2.0;2.041305
35;500000;0;1.68893;4093.8;4.42988;954.062;2.0;2.21494
36;500000;0;1.76039;4039.31;4.61766;941.308;2.0;2.30883
37;500000;0;1.87477;3897.75;4.70768;948.855;2.0;2.35384
38;500000;0;1.84009;4078.05;4.33964;1057.04;2.0;2.16982
39;500000;0;1.89481;4064.05;8.96819;524.903;2.0;4.484095
40;500000;0;1.95551;4038.44;7.6019;635.064;2.0;3.80095
41;500000;0;2.04267;3962.38;11.8619;417.128;2.0;5.93095
42;500000;0;2.20876;3753.42;9.18122;552.02;2.0;4.59061
43;500000;0;2.41694;3511.48;12.4361;417.212;2.0;6.21805
44;500000;0;2.26747;3829.67;8.5741;619.16;2.0;4.28705
45;500000;0;2.52255;3520.35;12.1175;448.03;2.0;6.05875
46;500000;0;2.56338;3540.98;10.7584;515.806;2.0;5.3792
47;500000;0;2.63551;3518.66;15.4077;367.966;2.0;7.70385
48;500000;0;2.75451;3438.03;10.4922;551.817;2.0;5.2461
49;500000;0;2.61415;3697.83;16.3906;360.575;2.0;8.1953
50;500000;0;2.59381;3802.64;11.6775;516.406;2.0;5.83875
51;500000;0;2.62358;3834.43;13.7702;446.659;2.0;6.8851
52;500000;0;2.68467;3820.41;12.1497;516.133;2.0;6.07485
53;500000;0;2.9536;3539.13;18.0547;353.987;2.0;9.02735
54;500000;0;2.99363;3557.48;15.0185;433.556;2.0;7.50925
55;500000;0;3.03234;3576.9;18.6729;355.148;2.0;9.33645
56;500000;0;3.09322;3570.07;13.2001;511.503;2.0;6.60005
57;500000;0;3.17576;3539.19;15.9929;429.701;2.0;7.99645
58;500000;0;2.91309;3925.8;13.7954;506.867;2.0;6.8977
59;500000;0;3.22277;3609.57;20.126;353.408;2.0;10.063
60;500000;0;2.96952;3983.61;16.8628;428.93;2.0;8.4314
61;500000;0;3.29355;3651.39;20.8611;352.485;2.0;10.43055
62;500000;0;3.12122;3915.99;15.6585;477.279;2.0;7.82925
63;500000;0;3.23491;3839.13;20.6732;367.323;2.0;10.3366
