dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.0265973;304.108;0.0838332;947.6759999999999;0.0103023;621.221;0.0167569;1460.49
40000;1;0.032998;496.466;0.0849769;975.4295;0.0197969;1293.13;0.0263419;1854.57
60000;1;0.0400145;598.646;0.0845177;981.172;0.0301946;1907.62;0.0379483;1933.01
80000;1;0.044822799999999996;706.8585;0.0843059;985.1785;0.0469358;2181.71;0.0533598;1834.82
100000;1;0.0506259;785.8715;0.0835029;994.5;0.0777591;2057.64;0.0598875;2044.05
200000;1;0.08333180000000001;947.5745;0.0827511;960.3320000000001;0.215208;2973.87;0.100203;2442.68
400000;1;0.14790979999999998;1067.545;0.08503820000000001;977.183;0.689176;3714.58;0.164412;2979.72
600000;1;0.2060942;1151.815;0.08130960000000001;1022.3305;1.48715;3873.18;0.256986;2859.87
800000;1;0.6599029999999999;480.995;0.0873482;951.8475000000001;3.01575;3395.51;0.537001;1823.42
1000000;1;0.7165440000000001;551.3689999999999;0.0824146;967.352;4.46206;3585.79;0.606706;2022.04
