dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.633527;25.8837;2.33756;43.8984;0.533562;29.9871;1.91386;52.2509
40000;0;0.662209;49.5252;2.41758;42.4455;0.577451;110.832;2.07141;96.5535
60000;0;0.693938;70.8912;2.35356;43.6;0.654838;219.902;2.16614;138.497
80000;0;0.689763;95.0937;2.24003;45.8098;0.776686;329.605;2.22168;180.046
100000;0;0.714912;114.686;2.18656;46.93;0.884229;452.371;2.36032;211.838
200000;0;0.806701;203.273;2.34414;43.7753;2.0266;789.498;2.85225;350.604
400000;0;0.988996;331.609;2.21851;46.254;6.27036;1020.67;3.9401;507.606
600000;0;1.19088;413.09;2.22863;46.044;13.285;1083.93;4.99698;600.368
800000;0;1.39867;468.961;2.38579;43.011;22.9788;1114.07;6.08476;657.386
1000000;0;1.58762;516.434;2.38715;42.9865;35.8395;1116.09;7.01683;712.58
