dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.118103;0.777335;0.308828;0.140134;0.396504;9.76534;0.421903;1.40603
40000;0;0.126954;1.44629;0.32708;0.122863;0.448548;34.5292;0.430848;2.75368
60000;0;0.133864;2.05745;0.307204;0.140875;0.498216;69.9456;0.436254;4.07933
80000;0;0.127549;2.87909;0.305663;0.131472;0.5892;105.146;0.425207;5.58041
100000;0;0.142029;3.23195;0.321309;0.12507;0.703894;137.521;0.447101;6.63393
200000;0;0.148961;6.16311;0.315478;0.127381;1.56365;247.626;0.451784;13.1304
400000;0;0.173576;10.5782;0.317108;0.126727;5.00736;309.305;0.492023;24.113
600000;0;0.189826;14.5089;0.317601;0.136263;10.6588;326.942;0.537557;33.1058
800000;0;0.20627;17.8031;0.311781;0.118977;18.6251;332.627;0.56036;42.3448
1000000;0;0.223263;20.56;0.320871;0.134874;28.7294;336.937;0.589643;50.3023
