dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;4.8495;168.927;9.99873;249.147;10.0;0.999873
5;500000;0;5.69337;178.422;8.56506;252.739;7.0;1.2235800000000001
6;500000;0;6.43684;188.359;7.16308;257.835;5.0;1.432616
7;500000;0;7.28526;193.411;6.45148;266.302;4.0;1.61287
8;500000;0;8.15117;196.985;7.36613;265.888;4.0;1.8415325
9;500000;0;8.85387;203.557;6.11128;269.881;3.0;2.0370933333333334
10;500000;0;9.79242;204.125;6.74627;271.218;3.0;2.2487566666666665
11;500000;0;10.9711;200.116;7.65282;262.662;3.0;2.55094
12;500000;0;11.2511;212.61;7.97096;274.81;3.0;2.6569866666666666
13;500000;0;12.6129;205.243;8.83843;268.248;3.0;2.9461433333333336
14;500000;0;12.9738;214.689;6.19797;274.422;2.0;3.098985
15;500000;0;13.7341;217.12;6.58935;276.374;2.0;3.294675
16;500000;0;14.8316;214.309;7.06465;274.803;2.0;3.532325
17;500000;0;16.1305;209.24;7.73415;266.564;2.0;3.867075
18;500000;0;16.4042;217.735;7.84107;278.267;2.0;3.920535
19;500000;0;17.7194;212.669;8.58211;268.252;2.0;4.291055
20;500000;0;17.5664;225.714;8.69323;278.658;2.0;4.346615
21;500000;0;18.8919;220.285;9.3485;271.99;2.0;4.67425
22;500000;0;19.8411;219.656;9.74654;273.221;2.0;4.87327
23;500000;0;21.1173;215.692;10.3404;269.16;2.0;5.1702
24;500000;0;21.8876;217.084;10.6121;273.602;2.0;5.30605
25;500000;0;22.1598;223.289;11.0262;274.233;2.0;5.5131
26;500000;0;23.494;218.977;11.3448;277.133;2.0;5.6724
27;500000;0;23.8381;224.065;11.9437;273.304;2.0;5.97185
28;500000;0;25.0869;220.748;12.2841;275.523;2.0;6.14205
29;500000;0;26.2382;218.555;13.5938;257.823;2.0;6.7969
30;500000;0;25.76;230.245;13.2082;274.456;2.0;6.6041
31;500000;0;27.937;219.341;14.8002;253.059;2.0;7.4001
32;500000;0;28.5708;221.356;22.2932;260.097;3.0;7.431066666666666
33;500000;0;28.8098;226.344;22.7302;263.032;3.0;7.576733333333333
34;500000;0;29.8483;225.056;15.6883;261.731;2.0;7.84415
35;500000;0;30.2283;228.731;16.5202;255.83;2.0;8.2601
36;500000;0;30.7742;231.062;16.5714;262.298;2.0;8.2857
37;500000;0;33.0121;221.354;21.017;212.537;2.0;10.5085
38;500000;0;33.1866;226.115;17.4906;262.265;2.0;8.7453
39;500000;0;33.7203;228.367;17.489;269.165;2.0;8.7445
40;500000;0;33.8171;233.527;18.2403;264.671;2.0;9.12015
41;500000;0;40.5853;199.427;26.9885;183.335;2.0;13.49425
42;500000;0;39.9151;207.702;19.2579;263.176;2.0;9.62895
43;500000;0;42.4831;199.774;29.2317;177.495;2.0;14.61585
44;500000;0;37.9078;229.073;20.2041;262.755;2.0;10.10205
45;500000;0;37.9219;234.173;21.3696;254.052;2.0;10.6848
46;500000;0;39.3293;230.791;21.2292;261.398;2.0;10.6146
47;500000;0;46.7079;198.542;33.9524;166.985;2.0;16.9762
48;500000;0;41.102;230.405;22.9734;252.022;2.0;11.4867
49;500000;0;50.5566;191.206;24.1279;244.947;2.0;12.06395
50;500000;0;46.4144;212.506;26.2446;229.774;2.0;13.1223
51;500000;0;47.6753;211.009;23.3689;263.195;2.0;11.68445
52;500000;0;48.2377;212.625;27.0532;231.797;2.0;13.5266
53;500000;0;54.4666;191.919;39.9707;159.895;2.0;19.98535
54;500000;0;50.3028;211.713;24.7062;263.552;2.0;12.3531
55;500000;0;50.9331;212.953;30.1062;220.274;2.0;15.0531
56;500000;0;50.3922;219.141;29.7534;226.928;2.0;14.8767
57;500000;0;55.5091;202.482;25.7674;266.7;2.0;12.8837
58;500000;0;55.6857;205.37;31.6498;220.931;2.0;15.8249
59;500000;0;61.0576;190.522;45.5545;156.136;2.0;22.77725
60;500000;0;57.1036;207.157;27.1925;265.99;2.0;13.59625
61;500000;0;66.723;180.238;47.1804;155.853;2.0;23.5902
62;500000;0;59.3493;205.944;34.0086;219.752;2.0;17.0043
63;500000;0;59.8294;207.578;29.4866;257.531;2.0;14.7433
