dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0849612;73.8335;0.186281;125.372;0.43149;29.6646;0.188177;204.095
40000;0;0.0992578;126.398;0.189914;122.974;0.451564;113.384;0.22088;347.755
60000;0;0.136084;138.289;0.189964;122.941;0.482803;238.607;0.250152;460.592
80000;0;0.165198;151.89;0.18766;124.451;0.509773;401.747;0.279599;549.443
100000;0;0.147786;212.232;0.188642;123.804;0.550015;581.802;0.320379;599.384
200000;0;0.226618;276.809;0.183434;127.318;1.04784;1221.56;0.485789;790.589
400000;0;0.331415;378.557;0.186085;125.505;3.06597;1669.95;0.820211;936.491
600000;0;0.532142;353.645;0.186187;125.436;6.42146;1793.98;1.15313;999.178
800000;0;0.484484;517.911;0.184618;126.502;11.0797;1848.43;1.49053;1030.67
1000000;0;0.843938;371.649;0.186285;125.37;17.0769;1873.88;1.83583;1046.01
