dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0175782;72.8458;0.016369;209.154;0.00946093;676.467;0.222181;35.9632
40000;0;0.0268854;95.2562;0.014982;228.517;0.0186394;1373.43;0.229831;69.5322
60000;0;0.027779;138.288;0.0136413;250.977;0.0333183;1728.78;0.234928;102.035
80000;0;0.0327851;156.229;0.216905;15.7841;0.0532226;1924;0.23631;135.251
100000;0;0.0362501;176.62;0.0137122;249.68;0.0930346;1719.79;0.234836;170.125
200000;0;0.0715573;178.947;0.0135145;253.331;0.257123;2489.09;0.279591;285.786
400000;0;0.11455;223.57;0.0148267;230.911;0.912383;2805.84;0.343951;464.62
600000;0;0.16453;233.484;0.013593;251.869;1.94147;2966.82;0.400259;598.886
800000;0;0.215279;237.924;0.0147797;231.646;3.40235;3009.68;0.482247;662.757
1000000;0;0.263087;243.36;0.0138163;247.798;5.3428;2994.68;0.552708;722.834
