dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0656994;5.85241;0.119603;2.58096;0.273672;23.3857;0.14004;17.1328
40000;0;0.0794531;9.67866;0.119223;2.58919;0.29484;86.8268;0.147216;32.5953
60000;0;0.105522;10.9313;0.120575;2.56015;0.320777;179.564;0.156504;45.9915
80000;0;0.104969;14.652;0.117956;2.617;0.353536;289.645;0.159642;60.1164
100000;0;0.124396;15.4547;0.121203;2.54689;0.397584;402.43;0.170833;70.2228
200000;0;0.182927;21.0193;0.119108;2.30373;0.939747;681.035;0.189215;126.802
400000;0;0.200257;38.4007;0.12035;2.56494;3.04872;839.698;0.22987;208.751
600000;0;0.475962;24.2352;0.118791;2.59861;6.58821;874.289;0.273105;263.556
800000;0;0.366721;41.9393;0.122559;2.51871;11.4803;891.962;0.329644;291.136
1000000;0;0.6839;28.1108;0.122856;2.51261;17.9212;892.796;0.370662;323.648
