dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0823605;199.101;0.287182;357.318;0.577252;27.7175;0.199472;501.328
40000;0;0.102659;319.467;0.287904;356.421;0.597851;107.05;0.264763;755.4
60000;0;0.143004;344.005;0.28641;358.281;0.632664;227.609;0.330698;907.181
80000;0;0.204541;320.679;0.288929;355.157;0.667564;383.484;0.398419;1003.98
100000;0;0.18129;452.26;0.288971;355.106;0.732025;546.43;0.46176;1082.82
200000;0;0.251014;653.272;0.290033;353.805;1.35095;1184.35;0.79101;1264.22
400000;0;0.474827;690.695;0.29399;349.043;3.81063;1679.51;1.43892;1389.94
600000;0;0.590567;832.997;0.286295;358.424;7.95153;1810.97;2.06935;1449.75
800000;0;0.588462;1114.64;0.288144;356.125;13.6734;1872.25;2.72253;1469.24
1000000;0;1.1934;687.031;0.287673;356.707;21.1761;1888.92;3.3369;1498.41
