dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.113701;0.807436;0.310466;0.149351;0.366545;10.5635;0.409529;1.44851
40000;0;0.116107;1.58141;0.304025;0.152515;0.389997;39.7131;0.427586;2.77468
60000;0;0.12768;2.1571;0.308114;0.140459;0.424661;82.0608;0.41615;4.2764
80000;0;0.119111;3.08304;0.304493;0.131977;0.475608;130.258;0.425381;5.57814
100000;0;0.121078;3.79119;0.306839;0.141042;0.531036;182.285;0.427934;6.93107
200000;0;0.130277;7.04699;0.313148;0.138201;0.947105;408.825;0.449407;13.1998
400000;0;0.156713;11.7165;0.303466;0.14261;2.65739;582.828;0.475212;24.966
600000;0;0.180243;15.2804;0.318838;0.14543;5.39212;646.277;0.531726;33.4688
800000;0;0.182703;20.0995;0.309648;0.139763;9.26506;668.663;0.586989;40.4238
1000000;0;0.19019;24.1353;0.312127;0.148557;14.2268;680.404;0.599835;49.4476
