dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.666287;24.6111;2.4314;42.2041;0.579457;27.6121;1.90226;52.5695
40000;0;0.706043;46.4505;2.31062;44.4102;0.641855;99.711;2.09676;95.3864
60000;0;0.707961;69.487;2.34211;43.8132;0.743387;193.708;2.26587;132.401
80000;0;0.750878;87.3539;2.33916;43.8683;0.911426;280.878;2.36307;169.273
100000;0;0.799893;102.501;2.26129;45.379;1.09843;364.156;2.50628;199.501
200000;0;0.984611;166.543;2.45333;41.8268;2.74438;583.01;3.37899;295.949
400000;0;1.32005;248.445;2.26169;45.3709;9.21681;694.383;5.00982;399.22
600000;0;1.64447;299.149;2.21107;46.4098;20.0345;718.761;6.62931;452.541
800000;0;2.01689;325.214;2.32961;44.0482;35.2589;726.058;8.24625;485.074
1000000;0;2.37839;344.73;2.37356;43.2326;54.3609;735.823;9.92446;503.811
