dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.109984;149.094;0.494139;207.664;0.608778;26.2822;0.269918;370.486
40000;0;0.150157;218.412;0.514943;199.275;0.645923;99.083;0.396134;504.885
60000;0;0.179685;273.779;0.49393;207.752;0.745502;193.158;0.528991;567.124
80000;0;0.243533;269.335;0.503824;203.672;0.843937;303.34;0.664124;602.303
100000;0;0.220721;371.465;0.492049;208.547;1.01671;393.425;0.797914;626.64
200000;0;0.476707;343.985;0.495295;207.18;2.38721;670.237;1.47138;679.641
400000;0;0.637805;514.202;0.492894;208.189;7.92749;807.317;2.80965;711.839
600000;0;0.958869;513.043;0.495141;207.244;17.2993;832.406;4.08596;734.229
800000;0;1.06209;617.574;0.495596;207.054;31.7174;807.127;5.43919;735.412
1000000;0;1.55179;528.358;0.49081;209.073;49.524;807.689;6.736;742.288
