dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0458237;2063.48;1.37934;2473.64;0.0109548;1460.55;0.472772;1219.69
40000;0;0.0691556;2734.59;1.3603;2508.27;0.0228076;2806.09;0.592978;1944.89
60000;0;0.0928326;3055.7;1.35758;2513.29;0.0406336;3543.86;0.735348;2352.51
80000;0;0.125765;3007.4;1.35573;2516.71;0.067318;3802.84;0.867559;2658.67
100000;0;0.156161;3027.52;1.36255;2504.12;0.115982;3448.8;0.924795;3117.65
200000;0;0.285769;3308.83;1.35345;2520.95;0.374359;4273.98;1.55308;3712.87
400000;0;0.505151;3743.68;1.35319;2521.44;1.34636;4753.57;2.67479;4311.65
600000;0;0.723707;3919.65;1.35332;2521.2;2.90155;4962.87;3.82033;4528.17
800000;0;0.960516;3937.72;1.35372;2520.46;5.13734;4983.12;4.97016;4640.79
1000000;0;1.18316;3995.92;1.35415;2519.66;8.00007;4999.96;6.16228;4678.77
