dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0729939;0.505439;0.159368;0.0438559;0.188664;20.5233;0.0879767;2.70972
40000;0;0.0906148;0.814304;0.156448;0.0446743;0.202018;76.6665;0.0927966;5.13795
60000;0;0.107012;1.0343;0.156356;0.0478937;0.215483;161.721;0.100968;7.08317
80000;0;0.125628;1.1747;0.151076;0.0429585;0.232048;266.979;0.0950079;10.0367
100000;0;0.147824;1.2479;0.155359;0.048201;0.24981;387.495;0.0978948;12.1759
200000;0;0.169041;2.18254;0.157149;0.0444752;0.421826;917.914;0.124498;19.1483
400000;0;0.262902;2.80668;0.155639;0.0481144;1.20846;1281.64;0.138993;34.3027
600000;0;0.356012;3.10894;0.153559;0.0487661;2.48811;1400.58;0.167496;42.698
800000;0;0.171998;8.5801;0.15203;0.0394052;4.28933;1444.33;0.197013;48.4013
1000000;0;0.520126;3.54664;0.155081;0.0450682;6.63541;1458.84;0.214999;55.4403
