dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.034895;54.3098;0.0290975;116.309;0.0143218;670.305;0.248367;47.0197
40000;0;0.0424418;89.3053;0.0113004;299.484;0.0218416;1758.11;0.258696;90.2849
60000;0;0.0543835;104.543;0.0103853;325.874;0.0352884;2448.4;0.264912;132.249
80000;0;0.0399264;189.863;0.0113341;298.595;0.0533045;2881.56;0.266651;175.183
100000;0;0.0466246;203.234;0.00986833;342.945;0.095714;2507.47;0.272049;214.633
200000;0;0.0564619;335.65;0.0112766;300.118;0.267813;3584.59;0.301514;387.317
400000;0;0.111938;338.604;0.0110094;307.4;0.921476;4167.23;0.344811;677.366
600000;0;0.15592;364.636;0.0108952;310.624;1.9133;4515.76;0.398797;878.505
800000;0;0.212902;356.059;0.0110113;307.347;3.30253;4650.98;0.451017;1035.72
1000000;0;0.249502;379.785;0.0115574;292.824;5.18554;4628.25;0.247422;2359.97
