SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS, SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING, SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE, SUBSPACEAUTOTUNETMP_UNROLL, SUBSPACEAUTOTUNETMP_VEC_PADDING, SUBSPACEAUTOTUNETMP_LIST_RATIO, duration
256, 1, 1, 1, 8, 0.100000, 8.70347
16, 1, 1, 1, 8, 0.100000, 14.7715
256, 0, 1, 1, 8, 0.100000, 8.74261
256, 1, 0, 1, 8, 0.100000, 25.334
256, 1, 1, 0, 4, 0.100000, 9.16515
256, 1, 1, 0, 4, 0.100000, 9.14609
256, 1, 1, 1, 8, 0.100000, 8.63607
