SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS, SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING, SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE, SUBSPACEAUTOTUNETMP_UNROLL, SUBSPACEAUTOTUNETMP_VEC_PADDING, SUBSPACEAUTOTUNETMP_LIST_RATIO, duration
128, 0, 1, 1, 8, 0.100000, 9.83821
16, 0, 1, 1, 8, 0.100000, 18.6064
128, 0, 1, 1, 8, 0.100000, 9.89715
128, 0, 0, 1, 8, 0.100000, 25.9701
128, 0, 1, 0, 4, 0.100000, 10.5057
128, 0, 1, 0, 4, 0.100000, 10.4929
128, 0, 1, 1, 8, 0.100000, 9.82792
