SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS, SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING, SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE, SUBSPACEAUTOTUNETMP_UNROLL, SUBSPACEAUTOTUNETMP_VEC_PADDING, SUBSPACEAUTOTUNETMP_LIST_RATIO, duration
256, 0, 1, 1, 8, 0.200000, 1.38874
16, 0, 1, 1, 8, 0.200000, 2.25118
256, 0, 1, 1, 8, 0.200000, 1.50863
256, 0, 0, 1, 8, 0.200000, 2.8551
256, 0, 1, 0, 4, 0.200000, 1.4676
256, 0, 1, 0, 4, 0.200000, 1.4766
256, 0, 1, 1, 8, 0.100000, 1.38688
