SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS, SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING, SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE, SUBSPACEAUTOTUNETMP_UNROLL, SUBSPACEAUTOTUNETMP_VEC_PADDING, SUBSPACEAUTOTUNETMP_LIST_RATIO, duration
512, 0, 1, 0, 4, 0.300000, 0.46301
16, 0, 1, 0, 4, 0.300000, 1.32091
512, 0, 1, 0, 4, 0.300000, 0.494339
512, 0, 0, 0, 4, 0.300000, 0.718799
512, 0, 1, 0, 4, 0.300000, 0.663009
512, 0, 1, 0, 4, 0.300000, 0.623311
512, 0, 1, 0, 4, 0.100000, 0.454956
