SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS, SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING, SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE, SUBSPACEAUTOTUNETMP_UNROLL, SUBSPACEAUTOTUNETMP_VEC_PADDING, SUBSPACEAUTOTUNETMP_LIST_RATIO, duration
512, 1, 1, 1, 8, 0.300000, 1.17344
16, 1, 1, 1, 8, 0.300000, 2.30465
512, 0, 1, 1, 8, 0.300000, 1.21262
512, 1, 0, 1, 8, 0.300000, 2.5421
512, 1, 1, 0, 4, 0.300000, 1.23016
512, 1, 1, 0, 4, 0.300000, 1.2083
512, 1, 1, 1, 8, 0.100000, 1.15771
